#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
47  0.068322475911  0.068322475911  0.004039393907  -0.000357409953   0.072004459864  -0.100191938159
48  0.068774312706  0.068774312706  0.003603637606  -0.000005088140   0.072372862172  -0.097921568941
49  0.068883342987  0.068883342987  0.003269910185  -0.000099419617   0.072053833555  -0.086273487049
50  0.068901736407  0.068901736407  0.003649526496  -0.000140830044   0.072410432859  -0.095476542631
51  0.068938993256  0.068938993256  0.003519203609  -0.000159957379   0.072298239486  -0.091409792863
52  0.068952796974  0.068952796974  0.002533534516  -0.000000196022   0.071486135468  -0.068935687103
53  0.068960438254  0.068960438254  0.002744151363  -0.000027317274   0.071677272343  -0.073928859131
54  0.068960824402  0.068960824402  0.002594873085  -0.000009250112   0.071546447374  -0.070358420947
55  0.068960956626  0.068960956626  0.002567047108  -0.000008347237   0.071519656497  -0.069625805685
56  0.068979563710  0.068979563710  0.002538157158  -0.000000203731   0.071517517137  -0.069061265881
57  0.068981721232  0.068981721232  0.002541061395  -0.000000179530   0.071522603097  -0.069140952782
58  0.068982180196  0.068982180196  0.002546407632  -0.000004654212   0.071523933615  -0.069164668992
59  0.068982555284  0.068982555284  0.002549164155  -0.000005630133   0.071526089306  -0.069213121681
60  0.069068007459  0.069068007459  0.004164548810  -0.000010396404   0.073222159865  -0.113040302773
61  0.069082170162  0.069082170162  0.003134146480  -0.000003347253   0.072212969389  -0.085193430083
62  0.069133687149  0.069133687149  0.004178956622  -0.000055888753   0.073256755018  -0.112194449018
63  0.069134583194  0.069134583194  0.004291980901  -0.000018883231   0.073407680864  -0.116276969942
64  0.069150935815  0.069150935815  0.003063555790  -0.000086682056   0.072127809549  -0.081004901929
65  0.069173598661  0.069173598661  0.003049060836  -0.000118070137   0.072104589360  -0.079756360313
66  0.069254123844  0.069254123844  0.004132996971  -0.000037444822   0.073349675993  -0.111445707743
67  0.069279357886  0.069279357887  0.004128815595  -0.000170023323   0.073238150159  -0.107724280040
68  0.069296787189  0.069296787189  0.004192720663  -0.000074343937   0.073415163914  -0.112066796421
69  0.069323239451  0.069323239451  0.004112462186  -0.000208477957   0.073227223680  -0.106232876443
70  0.069337853069  0.069337853069  0.002993740038  -0.000192648453   0.072138944653  -0.076221623534
71  0.069350260940  0.069350260940  0.002486373856  -0.000001617978   0.071835016818  -0.067613686104
72  0.069351934062  0.069351934062  0.002486415958  -0.000004188602   0.071834161418  -0.067544881477
73  0.069354571312  0.069354571312  0.002481891486  -0.000000657761   0.071835805038  -0.067517843394
74  0.069361910353  0.069361910353  0.002491267164  -0.000010708813   0.071842468704  -0.067499465506
75  0.069370135771  0.069370135771  0.004237058074  -0.000194400478   0.073412793367  -0.110006372891
76  0.069377042720  0.069377042720  0.004181452565  -0.000170949813   0.073387545472  -0.109131394594
77  0.069393698461  0.069393698461  0.004136766190  -0.000148000645   0.073382464005  -0.108539894735
78  0.069400988349  0.069400988349  0.002476623882  -0.000000694189   0.071876918041  -0.067373513247
79  0.069404120906  0.069404120906  0.002532014134  -0.000001286032   0.071934849007  -0.068864654654
80  0.069410872207  0.069410872207  0.002524421467  -0.000002346656   0.071932947018  -0.068629186515
81  0.069414413985  0.069414413985  0.002542788540  -0.000002920106   0.071954282419  -0.069113375901
82  0.069415492148  0.069415492148  0.002511603898  -0.000003888081   0.071923207965  -0.068238458169
83  0.069416823993  0.069416823993  0.002546826753  -0.000014042637   0.071949608108  -0.068920601681
84  0.069418139888  0.069418139888  0.002491469622  -0.000005214774   0.071904394736  -0.067654475171
85  0.069422531789  0.069422531789  0.002598435167  -0.000038243834   0.071982723122  -0.069666390445
86  0.069445563917  0.069445563917  0.002325140287  -0.000008275373   0.071762428832  -0.063045137941
87  0.069450710931  0.069450710931  0.002239159002  -0.000003416153   0.071686453779  -0.060837692945
88  0.069452565150  0.069452565150  0.004145146627  -0.000294774799   0.073302936978  -0.104774007948
89  0.069468360232  0.069468360232  0.002436885624  -0.000001476277   0.071903769579  -0.066270897909
90  0.069477951387  0.069477951387  0.002516047612  -0.000003799311   0.071990199688  -0.068361793414
91  0.069480823040  0.069480823040  0.002436892279  -0.000004483400   0.071913231918  -0.066189250954
92  0.069489968323  0.069489968323  0.002273044383  -0.000003220963   0.071759791743  -0.061765073009
93  0.069490731324  0.069490731324  0.002595897956  -0.000036533250   0.072050096030  -0.069643896766
94  0.069491224891  0.069491224891  0.002381660169  -0.000003873681   0.071869011379  -0.064702899231
95  0.069501308087  0.069501308087  0.002351137392  -0.000008283248   0.071844162230  -0.063752341230
96  0.069504761680  0.069504761680  0.002226143403  -0.000013473476   0.071717431606  -0.060209846440
97  0.069536648441  0.069536648441  0.002217761837  -0.000007256812   0.071747153467  -0.060150936451
98  0.069538796119  0.069538796119  0.002259706025  -0.000005133563   0.071793368581  -0.061350073093
99  0.069560364824  0.069560364824  0.004164533223  -0.000011513692   0.073713384355  -0.113009475650
100  0.069581104734  0.069581104734  0.004003415903  -0.000335117953   0.073249402684  -0.099819522839
101  0.069598227135  0.069598227135  0.002589930603  -0.000005105678   0.072183052059  -0.070336704948
102  0.069600084255  0.069600084255  0.002566851889  -0.000000361269   0.072166574876  -0.069837802869
103  0.069601428924  0.069601428924  0.002582101427  -0.000006108647   0.072177421705  -0.070096369955
104  0.069605582760  0.069605582760  0.002588177205  -0.000003587778   0.072190172187  -0.070330296733
105  0.069619257189  0.069619257189  0.002548353613  -0.000000499290   0.072167111512  -0.069330683127
106  0.069622257631  0.069622257631  0.002537897553  -0.000002986472   0.072157168712  -0.068978479398
107  0.069622635686  0.069622635686  0.002517867385  -0.000007595203   0.072132907867  -0.068308020443
108  0.069627900185  0.069627900185  0.002524289560  -0.000001101329   0.072151088416  -0.068659484218
109  0.069649310700  0.069649310700  0.004109886556  -0.000094988849   0.073664208407  -0.109250987466
110  0.069678435991  0.069678435991  0.004083927916  -0.000024713352   0.073737650555  -0.110456911204
111  0.069714621049  0.069714621049  0.004098080902  -0.000159539718   0.073653162233  -0.107173219575
112  0.069861191780  0.069861191780  0.003982553441  -0.000193940206   0.073649805015  -0.103093470197
113  0.069876346288  0.069876346288  0.003986901449  -0.000195317223   0.073667930513  -0.103174314990
114  0.069947811113  0.069947811113  0.003987447731  -0.000237278602   0.073697980243  -0.102047352255
115  0.069956236316  0.069956236316  0.002042598346  -0.000000563946   0.071998270716  -0.055566614860
116  0.069958952785  0.069958952785  0.002054509652  -0.000000167494   0.072013294943  -0.055901526210
117  0.069959394055  0.069959394055  0.002037014630  -0.000000318077   0.071996090609  -0.055421364599
118  0.069966465483  0.069966465483  0.002037526906  -0.000000863513   0.072003128876  -0.055420462258
119  0.069986393648  0.069986393648  0.004126305830  -0.000396606159   0.073716093319  -0.101490349644
120  0.070014925401  0.070014925401  0.002053683732  -0.000000217129   0.072068392005  -0.055877701134
121  0.070018554782  0.070018554782  0.002062392297  -0.000001007388   0.072079939692  -0.056093169314
122  0.070020981915  0.070020981915  0.002040647003  -0.000000772246   0.072060856672  -0.055507847951
123  0.070024733895  0.070024733895  0.002046254509  -0.000000523172   0.072070465233  -0.055667213716
124  0.070050538496  0.070050538496  0.003719334799  -0.000021709196   0.073748164099  -0.100617569341
125  0.070059027497  0.070059027497  0.003684676870  -0.000025733384   0.073717970983  -0.099564974774
126  0.070074366397  0.070074366397  0.003684992836  -0.000064741921   0.073694617312  -0.098512095754
127  0.070183541128  0.070183541128  0.003483158021  -0.000065598423   0.073601100727  -0.092996581265
128  0.070187613245  0.070187613245  0.003451145294  -0.000066530269   0.073572228270  -0.092100113289
129  0.070223027992  0.070223027992  0.002454878540  -0.000000675686   0.072677230846  -0.066782295557
130  0.070231184459  0.070231184459  0.002478981900  -0.000013768894   0.072696397465  -0.067081897188
131  0.070234066740  0.070234066740  0.002492930617  -0.000020542737   0.072706454620  -0.067277135570
132  0.070264633877  0.070264633877  0.002582288491  -0.000067446369   0.072779475998  -0.068432374899
133  0.070270510542  0.070270510542  0.003629935718  -0.000192227836   0.073708218424  -0.093544844273
134  0.070301420372  0.070301420372  0.003609268697  -0.000236262165   0.073674426904  -0.091784229937
135  0.070340198673  0.070340198673  0.003585052731  -0.000016076185   0.073909175218  -0.097116848365
136  0.070340684466  0.070340684466  0.003424003733  -0.000224556504   0.073540131696  -0.087061438334
137  0.070401301521  0.070401301521  0.003443252866  -0.000059362181   0.073785192206  -0.092080402993
138  0.070431053075  0.070431053075  0.003363019694  -0.000082742192   0.073711330577  -0.089260943209
139  0.070446034698  0.070446034698  0.003525983324  -0.000092386517   0.073879631505  -0.093432976146
140  0.070538029962  0.070538029962  0.003140244441  -0.000037132799   0.073641141604  -0.084440012141
141  0.070546989286  0.070546989286  0.002899380544  -0.000036668006   0.073409701824  -0.077898415976
142  0.070557336007  0.070557336007  0.002444293343  -0.000000460711   0.073001168639  -0.066500107282
143  0.070557355653  0.070557355653  0.003252247639  -0.000101450876   0.073708152415  -0.085737591021
144  0.070561766107  0.070561766107  0.002449286014  -0.000002347750   0.073008704370  -0.066584615858
145  0.070569077728  0.070569077728  0.002562019897  -0.000023849442   0.073107248183  -0.069067171534
146  0.070573510561  0.070573510561  0.002505013847  -0.000013120628   0.073065403780  -0.067807903129
147  0.070601058054  0.070601058054  0.002588733893  -0.000002257561   0.073187534386  -0.070381642047
148  0.070601849068  0.070601849068  0.002552786884  -0.000018178747   0.073136457206  -0.068970235869
149  0.070603048300  0.070603048300  0.002533146528  -0.000019749723   0.073116445105  -0.068393045825
150  0.070616580670  0.070616580670  0.002628549303  -0.000002528180   0.073242601793  -0.071457711168
151  0.070622362626  0.070622362626  0.002757731913  -0.000030838194   0.073349256345  -0.074202595762
152  0.070676894558  0.070676894558  0.002750997535  -0.000042469784   0.073385422309  -0.073702832056
153  0.070680424770  0.070680424770  0.002961300784  -0.000096646271   0.073545079283  -0.077951259813
154  0.070691502674  0.070691502674  0.002887603185  -0.000084559066   0.073494546793  -0.076274754746
155  0.070696140784  0.070696140784  0.002925945812  -0.000188766583   0.073433320013  -0.074482478865
156  0.070701355746  0.070701355746  0.002542135598  -0.000000283582   0.073243207762  -0.069167351945
157  0.070706946950  0.070706946950  0.002546195711  -0.000006462086   0.073246680575  -0.069109707566
158  0.070707801072  0.070707801072  0.002549781296  -0.000007575335   0.073250007033  -0.069176983274
159  0.070710458387  0.070710458387  0.002586451738  -0.000007525146   0.073289384980  -0.070176203085
160  0.070713722406  0.070713722406  0.002564975359  -0.000016705491   0.073261992274  -0.069341990685
161  0.070718439749  0.070718439749  0.002636951529  -0.000005886452   0.073349504826  -0.071594964250
162  0.070726723911  0.070726723911  0.002568800077  -0.000008376517   0.073287147470  -0.069672709648
163  0.070737732257  0.070737732257  0.002614258996  -0.000003544983   0.073348446270  -0.071041183306
164  0.070747303992  0.070747303992  0.002678936089  -0.000037739645   0.073388500436  -0.071870652921
165  0.070753032899  0.070753032899  0.002574168523  -0.000008519076   0.073318682346  -0.069814913357
166  0.070754448842  0.070754448842  0.002642996657  -0.000014892844   0.073382552655  -0.071514384075
167  0.070755749980  0.070755749980  0.002574110311  -0.000003071176   0.073326789115  -0.069961574331
168  0.070758028673  0.070758028673  0.002578211104  -0.000001992823   0.073334246953  -0.070102506113
169  0.070760143279  0.070760143279  0.002604041835  -0.000012310335   0.073351874779  -0.070524642533
170  0.070778397377  0.070778397377  0.002804525850  -0.000041997106   0.073540926121  -0.075172274657
171  0.070781185080  0.070781185080  0.002650676607  -0.000008446608   0.073423415079  -0.071898777390
172  0.070782536390  0.070782536390  0.002707341754  -0.000036077749   0.073453800396  -0.072688833370
173  0.070783408463  0.070783408463  0.002637349622  -0.000011432431   0.073409325654  -0.071454883062
174  0.070790751289  0.070790751289  0.002625978890  -0.000008729441   0.073408000737  -0.071219021653
175  0.070798502327  0.070798502327  0.002687075060  -0.000034573140   0.073451004246  -0.072178290733
176  0.070820091460  0.070820091460  0.002790216764  -0.000006700129   0.073603608096  -0.075743384581
177  0.070877876855  0.070877876855  0.002822165214  -0.000097162297   0.073602879772  -0.074151144382
