#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
25  0.074337064169  0.074337064169  0.003248568546  -0.000001669172   0.077583963542  -0.088352677612
26  0.074337064169  0.074337064169  0.003248568546  -0.000001669172   0.077583963542  -0.088352677602
27  0.074337064169  0.074337064169  0.003248568545  -0.000001669172   0.077583963542  -0.088352677594
28  0.074365604627  0.074365604627  0.005892044547  -0.000007853302   0.080249795872  -0.160117081647
29  0.074365604640  0.074365604640  0.005892044512  -0.000007853302   0.080249795850  -0.160117080680
30  0.074365604653  0.074365604653  0.005892044487  -0.000007853301   0.080249795839  -0.160117080038
31  0.074535929012  0.074535929012  0.005813231401  -0.000144927694   0.080204232719  -0.154242479489
32  0.074535929026  0.074535929026  0.005813231366  -0.000144927692   0.080204232701  -0.154242478613
33  0.074811640245  0.074811640245  0.005516113054  -0.000395722725   0.079932030574  -0.139332989406
34  0.074914278909  0.074914278909  0.005494199182  -0.000361471463   0.080047006628  -0.139668707051
35  0.074914278917  0.074914278917  0.005494199155  -0.000361471462   0.080047006610  -0.139668706361
36  0.074914278921  0.074914278921  0.005494199145  -0.000361471464   0.080047006603  -0.139668706034
37  0.074996936598  0.074996936598  0.005454056829  -0.000000006628   0.080450986799  -0.148412341632
38  0.075053313892  0.075053313892  0.005503168342  -0.000413200524   0.080143281709  -0.138505150274
39  0.075053313900  0.075053313900  0.005503168313  -0.000413200518   0.080143281696  -0.138505149666
40  0.075053313911  0.075053313911  0.005503168285  -0.000413200515   0.080143281681  -0.138505148986
41  0.075240822546  0.075240822546  0.005641351748  -0.000004301959   0.080877872336  -0.153392016648
42  0.075240822557  0.075240822557  0.005641351717  -0.000004301959   0.080877872316  -0.153392015797
43  0.075357609432  0.075357609432  0.005091052125  -0.000412132358   0.080036529199  -0.127319957369
44  0.075357609434  0.075357609434  0.005091052110  -0.000412132354   0.080036529190  -0.127319957050
45  0.075357609436  0.075357609436  0.005091052104  -0.000412132357   0.080036529183  -0.127319956803
46  0.075507807370  0.075507807370  0.005306751743  -0.000301535490   0.080513023622  -0.136198941538
47  0.075507807378  0.075507807378  0.005306751715  -0.000301535480   0.080513023613  -0.136198941046
48  0.075507807388  0.075507807388  0.005306751682  -0.000301535480   0.080513023591  -0.136198940167
49  0.075802367449  0.075802367449  0.005044169966  -0.000402244614   0.080444292801  -0.126313287533
50  0.075802367452  0.075802367452  0.005044169955  -0.000402244616   0.080444292791  -0.126313287170
51  0.075802367455  0.075802367455  0.005044169950  -0.000402244615   0.080444292790  -0.126313287054
52  0.076341821459  0.076341821459  0.003277786089  -0.000026765788   0.079592841759  -0.088464813810
53  0.076341821459  0.076341821459  0.003277786089  -0.000026765788   0.079592841760  -0.088464813814
54  0.076341821460  0.076341821460  0.003277786087  -0.000026765789   0.079592841758  -0.088464813763
