8820	-0.18633  	 (0.00000   )
8890	-1.95441  	 (-0.00000  )
6650	-1.16239  	 (0.00000   )
2240	-0.92159  	 (-0.00000  )
6580	-1.61849  	 (0.00000   )
2310	-0.40719  	 (0.00000   )
1190	0.48057   	 (-0.00000  )
1120	-0.14647  	 (0.00000   )
3220	-0.09344  	 (-0.00000  )
3290	0.37905   	 (0.00000   )
5250	-0.25157  	 (-0.00000  )
7840	0.48118   	 (0.00000   )
7910	-0.29878  	 (-0.00000  )
5180	0.61971   	 (-0.00000  )
3500	0.26733   	 (-0.00000  )
3010	-0.11146  	 (-0.00000  )
6160	-0.01015  	 (-0.00000  )
4200	-0.22483  	 (-0.00000  )
6860	0.78658   	 (0.00000   )
7490	0.25117   	 (0.00000   )
2170	-1.03833  	 (0.00000   )
3570	-0.27779  	 (0.00000   )
2940	-0.31978  	 (-0.00000  )
2100	-0.62694  	 (0.00000   )
4270	-0.63350  	 (-0.00000  )
2800	-0.41129  	 (0.00000   )
4550	0.59219   	 (0.00000   )
6230	-0.07164  	 (-0.00000  )
7420	0.60969   	 (-0.00000  )
840	-4.28994  	 (0.00000   )
7000	0.34166   	 (0.00000   )
7140	-2.26951  	 (-0.00000  )
4480	0.15665   	 (0.00000   )
2870	-0.18533  	 (0.00000   )
7210	-1.28321  	 (-0.00000  )
1540	-0.42733  	 (-0.00000  )
7070	-0.74167  	 (-0.00000  )
6930	1.10066   	 (0.00000   )
910	-0.39446  	 (-0.00000  )
1610	-0.12195  	 (-0.00000  )
2520	-0.30549  	 (0.00000   )
2590	-0.46659  	 (-0.00000  )
8610	0.83166   	 (-0.00000  )
8120	0.19904   	 (0.00000   )
8190	1.84697   	 (-0.00000  )
8540	-2.52793  	 (0.00000   )
4760	-0.38152  	 (-0.00000  )
5880	0.04803   	 (0.00000   )
4830	0.74307   	 (-0.00000  )
3430	-0.89297  	 (-0.00000  )
5950	0.65896   	 (-0.00000  )
3360	-0.17363  	 (-0.00000  )
5460	0.69089   	 (0.00000   )
5530	0.40366   	 (0.00000   )
280	-0.54957  	 (0.00000   )
5390	1.92254   	 (0.00000   )
