1519
I -34.4500989272  41.4747806500 -34.8185956684 53
I -34.6156390017  34.7210857615 -41.8147425153 53
I -41.4322617952  34.6882045138 -34.9342469533 53
I -34.5137827230  41.2691783657 -12.0542276025 53
I -41.3192561279  35.6285326082 -23.7007655284 53
I -34.6286781172  41.1641095512 -23.7425284924 53
I -34.9327351718  34.6944406125 -17.8835058969 53
I -41.3812391695  36.0688389707 -11.7950893557 53
I -34.5079245697  41.2601076766  11.8236809234 53
I -41.4146873352  36.3600458826 -0.1901858924 53
I -34.4555791351  41.2803277542 -0.0664639620 53
I -35.0655829713  34.6883934865  5.8563769778 53
I -41.4279154234  36.2572447404  11.8309752691 53
I -34.4355480302  41.4037269193  34.7269439148 53
I -41.3971128753  35.6360915157  23.4641717233 53
I -34.7668171519  41.3273819535  23.6765770243 53
I -34.9639156653  34.8562012332  29.5324626732 53
I -41.3356967517  34.5527110967  34.8276663574 53
I -34.9484199049  17.7097833050 -35.4282215591 53
I -41.3816171149  23.5741538275 -35.5446287348 53
I -35.2655160750  11.9679804678 -41.8580172608 53
I -41.3156656468  11.7745291273 -35.5775099825 53
I -34.0935074654  17.7561194081 -12.0764318933 53
I -41.2361081453  22.8834586537 -12.1866218675 53
I -40.9944120776  12.5747339737 -23.8693291659 53
I -33.7988990451  17.5995555362 -23.8874705439 53
I -41.0059394116  22.7696970957 -23.6278220709 53
I -34.8654608949  23.4991316705 -29.7588519531 53
I -34.7792893493  11.6787199746 -17.8913671607 53
I -41.0792608144  12.6530820501 -11.7367534870 53
I -34.0322803145  17.8069719583  11.6933464606 53
I -41.2446119162  22.7237767325  11.6100284026 53
I -41.1253701503  12.7450172627 -0.4118640833 53
I -34.0670512891  17.8129245980  0.0736791282 53
I -41.2842961807  22.7836810746  0.0456229201 53
I -35.0841022947  23.6091137748 -6.0405119648 53
I -35.1029995635  11.7083697893  5.8634256591 53
I -41.1138428163  12.6747761146  12.1057226599 53
I -34.9193181110  17.5622901222  35.0878817485 53
I -41.2771152185  23.4282669126  35.2696734741 53
I -41.1582513979  12.6741902993  23.2593253297 53
I -34.1297902214  17.7103691204  23.8315346283 53
I -41.2536826053  23.1735317295  23.7179620429 53
I -35.0525438558  23.6024997307  17.7387528181 53
I -35.2706183375  11.6496370780  29.5496591878 53
I -41.3305944892  11.4839647226  35.5884703984 53
I -35.2585240855  23.3092141193  41.6236911279 53
I -23.4821241286  29.3809065776 -35.6691617361 53
I -29.3671115714  34.9765768353 -35.3617031730 53
I -23.5715082099  23.5129266767 -41.9683773104 53
I -35.2417055163  23.5267216829 -41.8130417611 53
Pb -35.3367587783  23.5686736196 -35.7332234772 82
Pb -35.4253869688  35.4864251470 -35.7538215002 82
Pb -34.9472860687  23.4021886817 -23.8130153049 82
Pb -35.2190287938  35.1288888217 -23.7754097400 82
I -34.9603251842  29.4079296719 -35.4558115716 53
I -29.3703241071  23.5102810591 -35.6083125306 53
I -22.5952753049  29.3654108172 -12.1641530150 53
I -29.4154885794  34.3563684741 -12.0173023393 53
I -35.7853799390  29.2471139146 -23.8237867481 53
I -29.1225809134  24.7559890169 -24.0471524651 53
I -22.2061805407  29.1970361524 -23.8576128592 53
I -29.2508933684  34.2101036137 -23.7999761894 53
I -34.9457742872  34.8178397776 -29.6823180146 53
I -23.4076688896  34.8514769160 -29.7624424342 53
I -23.7374262298  23.3084582285 -17.9469629254 53
I -34.4618152338  23.4290228033 -17.9140816778 53
Pb -35.2350914722  23.5312570274 -12.0098190209 82
Pb -35.3620811184  35.2528549049 -11.9727236822 82
Pb -35.2846023164  23.5871929430 -0.0582538546 82
Pb -35.4303002587  35.2598468943 -0.0745385759 82
I -35.9460067236  29.3659777352 -11.9666009672 53
I -29.3423561493  24.6067005936 -11.7356007536 53
I -22.4873719001  29.3814734956  11.5219860274 53
I -29.4676450413  34.2388274623  11.7641356295 53
I -36.2408041166  29.4022604913 -0.1646564382 53
I -29.4198349513  24.7867915650 -0.3582544215 53
I -22.5992437313  29.4045281635  0.2329352939 53
I -29.4874871735  34.2894721426 -0.0348032889 53
I -35.0684175616  34.8342804015 -6.0318759130 53
I -23.7336467760  34.7501875554 -6.0209343944 53
I -24.1114031789  23.2693408822  5.8882944648 53
I -34.5587582227  23.6159167915  5.8606099660 53
Pb -35.2439731886  23.5907834241  11.7625293616 82
Pb -35.4134816895  35.2383040079  11.7709764408 82
Pb -35.2214854387  23.5065016053  23.6642937996 82
Pb -35.3403492593  35.3040665033  23.6393494048 82
I -36.2733074189  29.3914890481  11.9256505857 53
I -29.3831742498  24.8402708357  12.1085194557 53
I -23.3844252490  29.3145771642  35.0493313201 53
I -29.2442793243  34.9457742872  35.0635042717 53
I -35.5824232724  29.3812845229  23.6616481820 53
I -29.2934122231  24.4096020802  23.4624709691 53
I -22.6912734303  29.3501040295  24.0579239083 53
I -29.3773160965  34.5362704728  23.6816792869 53
I -35.0434731668  34.8701852121  17.7234460303 53
I -23.6875374402  34.6961413667  17.7236350030 53
I -23.8689512205  23.2162395569  29.6254372356 53
I -34.7040782196  23.4996985886  29.5712020742 53
Pb -35.2313120185  23.4416839734  35.5450066802 82
Pb -35.3065231482  35.3847578409  35.6024543773 82
I -34.7987535362  29.3073962020  35.2309340731 53
I -29.2960578408  23.3245209070  35.6045330768 53
I -34.4166507615  34.5655612394  41.6295492812 53
I -23.3717640789  34.9986866398  41.5503697251 53
I -12.0089875410  41.3706566990 -35.6453511774 53
I -11.7433486338  35.1793445293 -41.7920657927 53
I -23.5698074557  35.2022102246 -41.8383641012 53
Pb -23.5356033992  35.3471522761 -35.7426721116 82
Pb -23.3863149759  35.1220858049 -23.8147160591 82
I -23.3766773688  41.3804832788 -35.5871475896 53
I -17.6842908894  34.9055231047 -35.5506758608 53
I -11.1066429569  41.0741585519 -12.3762370625 53
I -24.1270879120  41.1952900447 -23.8111255780 53
I -17.5804315002  35.9301330179 -23.8644158760 53
I -10.9554837039  40.8944455258 -23.4207080051 53
I -11.8529905873  34.2014108701 -17.8757769140 53
I -23.3022221298  34.8767992562 -17.9098486896 53
