429
Cs -23.7680000000  23.7680000000 -11.8840000000 55
Cs -23.7680000000  23.7680000000  11.8840000000 55
Cs -23.7680000000  11.8840000000 -23.7680000000 55
Cs -23.7680000000  23.7680000000 -23.7680000000 55
I -17.8260000000  11.8840000000 -17.8260000000 53
I -23.7680000000  17.8260000000 -17.8260000000 53
I -17.8260000000  5.9420000000 -23.7680000000 53
Cs -23.7680000000  11.8840000000 -11.8840000000 55
Cs -23.7680000000  11.8840000000  0.0000000000 55
Cs -23.7680000000  0.0000000000 -11.8840000000 55
Cs -23.7680000000  23.7680000000  0.0000000000 55
I -23.7680000000  5.9420000000 -17.8260000000 53
I -17.8260000000  11.8840000000  5.9420000000 53
I -23.7680000000  17.8260000000  5.9420000000 53
I -23.7680000000  5.9420000000 -5.9420000000 53
I -17.8260000000  11.8840000000 -5.9420000000 53
I -23.7680000000  17.8260000000 -5.9420000000 53
I -17.8260000000  17.8260000000 -11.8840000000 53
I -17.8260000000  5.9420000000  0.0000000000 53
Cs -23.7680000000  11.8840000000  11.8840000000 55
Cs -23.7680000000  11.8840000000  23.7680000000 55
Cs -23.7680000000  0.0000000000  11.8840000000 55
Cs -23.7680000000  23.7680000000  23.7680000000 55
I -23.7680000000  5.9420000000  5.9420000000 53
I -23.7680000000  5.9420000000  17.8260000000 53
I -17.8260000000  11.8840000000  17.8260000000 53
I -23.7680000000  17.8260000000  17.8260000000 53
I -17.8260000000  17.8260000000  11.8840000000 53
I -17.8260000000  5.9420000000  23.7680000000 53
Cs -11.8840000000  23.7680000000 -23.7680000000 55
I -5.9420000000  23.7680000000 -17.8260000000 53
I -5.9420000000  17.8260000000 -23.7680000000 53
I -17.8260000000  17.8260000000 -23.7680000000 53
Cs -11.8840000000  23.7680000000 -11.8840000000 55
Cs -11.8840000000  23.7680000000  0.0000000000 55
Cs -11.8840000000  11.8840000000 -11.8840000000 55
Pb -17.8260000000  17.8260000000 -17.8260000000 82
Pb -17.8260000000  17.8260000000 -5.9420000000 82
I -17.8260000000  23.7680000000 -17.8260000000 53
I -11.8840000000  17.8260000000 -17.8260000000 53
I -5.9420000000  23.7680000000  5.9420000000 53
I -17.8260000000  23.7680000000 -5.9420000000 53
I -11.8840000000  17.8260000000 -5.9420000000 53
I -5.9420000000  23.7680000000 -5.9420000000 53
I -5.9420000000  17.8260000000  0.0000000000 53
I -17.8260000000  17.8260000000  0.0000000000 53
Cs -11.8840000000  23.7680000000  11.8840000000 55
Cs -11.8840000000  23.7680000000  23.7680000000 55
Cs -11.8840000000  11.8840000000  11.8840000000 55
Pb -17.8260000000  17.8260000000  5.9420000000 82
Pb -17.8260000000  17.8260000000  17.8260000000 82
I -17.8260000000  23.7680000000  5.9420000000 53
I -11.8840000000  17.8260000000  5.9420000000 53
I -17.8260000000  23.7680000000  17.8260000000 53
I -11.8840000000  17.8260000000  17.8260000000 53
I -5.9420000000  23.7680000000  17.8260000000 53
I -5.9420000000  17.8260000000  23.7680000000 53
I -17.8260000000  17.8260000000  23.7680000000 53
Cs -0.0000000000  23.7680000000 -11.8840000000 55
Cs -0.0000000000  23.7680000000  11.8840000000 55
Cs -23.7680000000 -11.8840000000 -23.7680000000 55
Cs -23.7680000000  0.0000000000 -23.7680000000 55
I -17.8260000000 -11.8840000000 -17.8260000000 53
I -23.7680000000 -5.9420000000 -17.8260000000 53
I -17.8260000000 -17.8260000000 -23.7680000000 53
Cs -23.7680000000 -11.8840000000 -11.8840000000 55
Cs -23.7680000000 -11.8840000000  0.0000000000 55
Cs -23.7680000000 -23.7680000000 -11.8840000000 55
Cs -23.7680000000  0.0000000000  0.0000000000 55
I -23.7680000000 -17.8260000000 -17.8260000000 53
I -17.8260000000 -11.8840000000  5.9420000000 53
I -23.7680000000 -5.9420000000  5.9420000000 53
I -23.7680000000 -17.8260000000 -5.9420000000 53
I -17.8260000000 -11.8840000000 -5.9420000000 53
I -23.7680000000 -5.9420000000 -5.9420000000 53
I -17.8260000000 -5.9420000000 -11.8840000000 53
I -17.8260000000 -17.8260000000  0.0000000000 53
Cs -23.7680000000 -11.8840000000  11.8840000000 55
Cs -23.7680000000 -11.8840000000  23.7680000000 55
Cs -23.7680000000 -23.7680000000  11.8840000000 55
Cs -23.7680000000  0.0000000000  23.7680000000 55
I -23.7680000000 -17.8260000000  5.9420000000 53
I -23.7680000000 -17.8260000000  17.8260000000 53
I -17.8260000000 -11.8840000000  17.8260000000 53
I -23.7680000000 -5.9420000000  17.8260000000 53
I -17.8260000000 -5.9420000000  11.8840000000 53
I -17.8260000000 -17.8260000000  23.7680000000 53
Cs -11.8840000000  0.0000000000 -23.7680000000 55
Cs -11.8840000000  11.8840000000 -23.7680000000 55
I -5.9420000000  0.0000000000 -17.8260000000 53
I -11.8840000000  5.9420000000 -17.8260000000 53
I -5.9420000000 -5.9420000000 -23.7680000000 53
I -17.8260000000 -5.9420000000 -23.7680000000 53
Cs -11.8840000000  0.0000000000 -11.8840000000 55
Cs -11.8840000000  0.0000000000  0.0000000000 55
Cs -11.8840000000 -11.8840000000 -11.8840000000 55
Cs -11.8840000000  11.8840000000  0.0000000000 55
Pb -17.8260000000 -5.9420000000 -17.8260000000 82
Pb -17.8260000000  5.9420000000 -17.8260000000 82
Pb -17.8260000000 -5.9420000000 -5.9420000000 82
Pb -17.8260000000  5.9420000000 -5.9420000000 82
I -17.8260000000  0.0000000000 -17.8260000000 53
I -11.8840000000 -5.9420000000 -17.8260000000 53
I -5.9420000000  0.0000000000  5.9420000000 53
I -11.8840000000  5.9420000000  5.9420000000 53
